candidate,sample_kind,target_kind,loss_kind,target_source,target_smoothing_bandwidth_scale,description,symbolic_formula,score_formula,delta_formula,model_name,checkpoint,train_start_year,train_end_year,validation_year,test_year,source_file
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,-iv + m_fwd*(sqrt(iv)*m_fwd - 0.28665605),-iv + m_fwd*(sqrt(iv)*m_fwd - 0.28665605),"clip(BS_DELTA(m_fwd, tau, iv, q) + (-iv + m_fwd*(sqrt(iv)*m_fwd - 0.28665605)), 0, 1)",final_WF_exp1_k1_test2019,17000,2010,2017,2018,2019,results\interpret_real_walkforward\2019_final_WF_exp1_k1_test2019\final_WF_exp1_k1_test2019_17000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,2.51686361543935*iv*log(0.87887806*m_fwd + 0.135228080530186*m_fwd/iv) - 0.2674897,2.51686361543935*iv*log(0.87887806*m_fwd + 0.135228080530186*m_fwd/iv) - 0.2674897,"clip(BS_DELTA(m_fwd, tau, iv, q) + (2.51686361543935*iv*log(0.87887806*m_fwd + 0.135228080530186*m_fwd/iv) - 0.2674897), 0, 1)",final_WF_exp1_k1_test2019,17000,2010,2017,2018,2019,results\interpret_real_walkforward\2019_final_WF_exp1_k1_test2019\final_WF_exp1_k1_test2019_17000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,iv*(m_fwd - 1*1.0739843)*2.4195282 - 0.0044955844/iv,iv*(m_fwd - 1*1.0739843)*2.4195282 - 0.0044955844/iv,"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*(m_fwd - 1*1.0739843)*2.4195282 - 0.0044955844/iv), 0, 1)",final_WF_exp1_k1_test2019,17000,2010,2017,2018,2019,results\interpret_real_walkforward\2019_final_WF_exp1_k1_test2019\final_WF_exp1_k1_test2019_17000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,erf(sqrt(iv)) - (iv + 0.3155939)/m_fwd,erf(sqrt(iv)) - (iv + 0.3155939)/m_fwd,"clip(BS_DELTA(m_fwd, tau, iv, q) + (erf(sqrt(iv)) - (iv + 0.3155939)/m_fwd), 0, 1)",final_WF_exp1_k1_test2020,9000,2010,2018,2019,2020,results\interpret_real_walkforward\2020_final_WF_exp1_k1_test2020\final_WF_exp1_k1_test2020_9000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,-iv + m_fwd*erf(sqrt(iv)) - 0.31552577,-iv + m_fwd*erf(sqrt(iv)) - 0.31552577,"clip(BS_DELTA(m_fwd, tau, iv, q) + (-iv + m_fwd*erf(sqrt(iv)) - 0.31552577), 0, 1)",final_WF_exp1_k1_test2020,9000,2010,2018,2019,2020,results\interpret_real_walkforward\2020_final_WF_exp1_k1_test2020\final_WF_exp1_k1_test2020_9000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,(iv*iv - 1*(-0.0781393))*erf(erf(m_fwd*4.3146772 + tau - 5.054551)),(iv*iv - 1*(-0.0781393))*erf(erf(m_fwd*4.3146772 + tau - 5.054551)),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((iv*iv - 1*(-0.0781393))*erf(erf(m_fwd*4.3146772 + tau - 5.054551))), 0, 1)",final_WF_exp1_k1_test2020,9000,2010,2018,2019,2020,results\interpret_real_walkforward\2020_final_WF_exp1_k1_test2020\final_WF_exp1_k1_test2020_9000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,-iv*(iv + (m_fwd - 1*0.73229146)/(-0.5384646)) - 0.102872305,-iv*(iv + (m_fwd - 1*0.73229146)/(-0.5384646)) - 0.102872305,"clip(BS_DELTA(m_fwd, tau, iv, q) + (-iv*(iv + (m_fwd - 1*0.73229146)/(-0.5384646)) - 0.102872305), 0, 1)",final_WF_exp1_k1_test2021,20000,2010,2019,2020,2021,results\interpret_real_walkforward\2021_final_WF_exp1_k1_test2021\final_WF_exp1_k1_test2021_20000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,-1.13307392361235*iv + m_fwd**2*(sqrt(iv) - 0.2660412),-1.13307392361235*iv + m_fwd**2*(sqrt(iv) - 0.2660412),"clip(BS_DELTA(m_fwd, tau, iv, q) + (-1.13307392361235*iv + m_fwd**2*(sqrt(iv) - 0.2660412)), 0, 1)",final_WF_exp1_k1_test2021,20000,2010,2019,2020,2021,results\interpret_real_walkforward\2021_final_WF_exp1_k1_test2021\final_WF_exp1_k1_test2021_20000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,(iv + log(m_fwd))*(2.6823072*m_fwd - 3.0259295),(iv + log(m_fwd))*(2.6823072*m_fwd - 3.0259295),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((iv + log(m_fwd))*(2.6823072*m_fwd - 3.0259295)), 0, 1)",final_WF_exp1_k1_test2021,20000,2010,2019,2020,2021,results\interpret_real_walkforward\2021_final_WF_exp1_k1_test2021\final_WF_exp1_k1_test2021_20000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,(m_fwd - 1.1801382)*(iv + m_fwd - 0.84714985),(m_fwd - 1.1801382)*(iv + m_fwd - 0.84714985),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((m_fwd - 1.1801382)*(iv + m_fwd - 0.84714985)), 0, 1)",final_WF_exp1_k1_test2022,20000,2010,2020,2021,2022,results\interpret_real_walkforward\2022_final_WF_exp1_k1_test2022\final_WF_exp1_k1_test2022_20000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,-0.044134233/(-iv + m_fwd),-0.044134233/(-iv + m_fwd),"clip(BS_DELTA(m_fwd, tau, iv, q) + (-0.044134233/(-iv + m_fwd)), 0, 1)",final_WF_exp1_k1_test2022,20000,2010,2020,2021,2022,results\interpret_real_walkforward\2022_final_WF_exp1_k1_test2022\final_WF_exp1_k1_test2022_20000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,(m_fwd - 1*1.1610616)*(iv + m_fwd*2.5851593 - 1*2.3344073),(m_fwd - 1*1.1610616)*(iv + m_fwd*2.5851593 - 1*2.3344073),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((m_fwd - 1*1.1610616)*(iv + m_fwd*2.5851593 - 1*2.3344073)), 0, 1)",final_WF_exp1_k1_test2022,20000,2010,2020,2021,2022,results\interpret_real_walkforward\2022_final_WF_exp1_k1_test2022\final_WF_exp1_k1_test2022_20000_candidate_manifest.csv
uniform_bs_delta_residual,uniform,delta_residual,default,raw_agent,,Uniform sample; symbolic correction to BS delta; ordinary MSE.,(m_fwd*(m_fwd + m_fwd - 1*3.8535342) - 1*(-1.7304162))*exp(iv + iv) - 1*(-0.11810149),(m_fwd*(m_fwd + m_fwd - 1*3.8535342) - 1*(-1.7304162))*exp(iv + iv) - 1*(-0.11810149),"clip(BS_DELTA(m_fwd, tau, iv, q) + ((m_fwd*(m_fwd + m_fwd - 1*3.8535342) - 1*(-1.7304162))*exp(iv + iv) - 1*(-0.11810149)), 0, 1)",final_WF_exp1_k1_test2023,4000,2010,2021,2022,2023,results\interpret_real_walkforward\2023_final_WF_exp1_k1_test2023\final_WF_exp1_k1_test2023_4000_candidate_manifest.csv
smooth_uniform_bs_delta_residual,uniform,delta_residual,default,smooth_kernel_bs_delta_residual,,Uniform sample; symbolic correction to BS delta; ordinary MSE; target is the smooth_kernel_bs_delta_residual policy.,iv*m_fwd*(m_fwd - 1.2154956)*exp(iv),iv*m_fwd*(m_fwd - 1.2154956)*exp(iv),"clip(BS_DELTA(m_fwd, tau, iv, q) + (iv*m_fwd*(m_fwd - 1.2154956)*exp(iv)), 0, 1)",final_WF_exp1_k1_test2023,4000,2010,2021,2022,2023,results\interpret_real_walkforward\2023_final_WF_exp1_k1_test2023\final_WF_exp1_k1_test2023_4000_candidate_manifest.csv
smooth_focus_bs_delta_residual,focus,delta_residual,default,smooth_kernel_bs_delta_residual,,Hybrid stratified/economic-focus sample; symbolic correction to BS delta; target is the smooth_kernel_bs_delta_residual policy.,sqrt(iv)*((iv + m_fwd)*erf(m_fwd - 2.1049771/m_fwd) + 1.1834154) - 0.11099871,sqrt(iv)*((iv + m_fwd)*erf(m_fwd - 2.1049771/m_fwd) + 1.1834154) - 0.11099871,"clip(BS_DELTA(m_fwd, tau, iv, q) + (sqrt(iv)*((iv + m_fwd)*erf(m_fwd - 2.1049771/m_fwd) + 1.1834154) - 0.11099871), 0, 1)",final_WF_exp1_k1_test2023,4000,2010,2021,2022,2023,results\interpret_real_walkforward\2023_final_WF_exp1_k1_test2023\final_WF_exp1_k1_test2023_4000_candidate_manifest.csv
